PLUAD_name;DEP_num;NameEn;NameRus;NameKg;Length;type
RD3;48;Jalalabat-Kazarman;ЖалалАбад - Казарман;ЖалалАбад - Казарман;98;inter
RD4;3;Dmitrievka-Kokart;Дмитриевка - Кокарт;Дмитриевка - Кокарт;55;nat
RD4;3;Dmitrievka-Karaalma;Дмитриевка - Караалма;Дмитриевка - Караалма;8;nat
RD4;3;Kalmakyrchyn-Kyzylsuu;Калмакырчын - Кызылсуу;Калмакырчын - Кызылсуу;18;loc
RD4;3;Oktyabrskoe-Bagysh;Октябрьское - Багыш;Октябрьское - Багыш;2;loc
RD4;3;Vinsovhoz-Gavrilovka-3 Otdel;Винсовхоз - Гавриловка - 3 Отдел;Винсовхоз - Гавриловка - 3 Отдел;20;loc
RD4;4;Taygaraev-Kulbayuulu;Тайгараев - Кулбайуулу;Тайгараев - Кулбайуулу;3;loc
RD4;4;Taygaraev-Voroshilov;Тайгараев - Ворошилов;Тайгараев - Ворошилов;8;loc
RD4;4;Bagysh-Jalalabat;Багыш - ЖаладАбад;Багыш - ЖаладАбад;13;loc
RD4;4;Leninzhol-Kokart;Ленинжол - Кокарт;Ленинжол - Кокарт;6;loc
RD4;4;Mikhailovka-Chontash;Михайловка - Чонташ;Михайловка - Чонташ;14;loc
RD4;4;Kokzhangak-Sarybulak;Кокжангак - Сарыбулак;Кокжангак - Сарыбулак;8;loc
RD4;4;Mikhailovka-Sarybulak;Михайловка - Сарыбулак;Михайловка - Сарыбулак;26;loc
RD4;4;Bishkek – Torugart 82-147 km;Бишкек - Торугарт 82-147 км;Бишкек - Торугарт 82-147 км;65;inter
RD4;4;Kemin-Shabdan-Kok Oirok;Кемин - Шабдан - Кок Ойрок;Кемин - Шабдан - Кок Ойрок;102;nat
RD4;4;Kemin-Ilich-Ak Tuz;Кемин - Ильич - Ак Тюз;Кемин - Ильич - Ак Тюз;36;nat
RD4;4;Boroldoy-Zholbulak;Боролдой - Жолбулак;Боролдой - Жолбулак;8;nat
RD4;4;Kemin-Orlovka;Кемин - Орловка;Кемин - Орловка;6;nat
RD4;4;Tar Suu-Tegirmenti;Таш Суу - Тегирменти;Таш Суу - Тегирменти;15;loc
RD4;4;Gosdoroga-Kyzyl Octyabr;Госдорога - Кызыл Октябрь;Госдорога - Кызыл Октябрь;2;loc
RD4;4;Chui bridge-Beisheke-Boroldoy ;Чуйский мост - Бейшеке - Боролдой;Чуйский мост - Бейшеке - Боролдой;16;loc
RD4;4;Beisheke-Orto-Jon ;Бейшеке - Орто Жон;Бейшеке - Орто Жон;30;loc
